Category,Name,Type,Example,Description
Search Recipes,minCaffeine,number,0,The minimum amount of caffeine in milligrams the recipe must have per serving.
Search Recipes,maxCaffeine,number,100,The maximum amount of caffeine in milligrams the recipe can have per serving.
Search Recipes,minCopper,number,0,The minimum amount of copper in milligrams the recipe must have per serving.
Search Recipes,maxCopper,number,100,The maximum amount of copper in milligrams the recipe can have per serving.
Search Recipes,minCalcium,number,0,The minimum amount of calcium in milligrams the recipe must have per serving.
Search Recipes,maxCalcium,number,100,The maximum amount of calcium in milligrams the recipe can have per serving.
Search Recipes,minCholine,number,0,The minimum amount of choline in milligrams the recipe must have per serving.
Search Recipes,maxCholine,number,100,The maximum amount of choline in milligrams the recipe can have per serving.
Search Recipes,minCholesterol,number,0,The minimum amount of cholesterol in milligrams the recipe must have per serving.
Search Recipes,maxCholesterol,number,100,The maximum amount of cholesterol in milligrams the recipe can have per serving.
Search Recipes,minFluoride,number,0,The minimum amount of fluoride in milligrams the recipe must have per serving.
Search Recipes,maxFluoride,number,100,The maximum amount of fluoride in milligrams the recipe can have per serving.
Search Recipes,minSaturatedFat,number,0,The minimum amount of saturated fat in grams the recipe must have per serving.
Search Recipes,maxSaturatedFat,number,100,The maximum amount of saturated fat in grams the recipe can have per serving.
Search Recipes,minVitaminA,number,0,The minimum amount of Vitamin A in IU the recipe must have per serving.
Search Recipes,maxVitaminA,number,100,The maximum amount of Vitamin A in IU the recipe can have per serving.
Search Recipes,minVitaminC,number,0,The minimum amount of Vitamin C milligrams the recipe must have per serving.
Search Recipes,maxVitaminC,number,100,The maximum amount of Vitamin C in milligrams the recipe can have per serving.
Search Recipes,minVitaminD,number,0,The minimum amount of Vitamin D in micrograms the recipe must have per serving.
Search Recipes,maxVitaminD,number,100,The maximum amount of Vitamin D in micrograms the recipe can have per serving.
Search Recipes,minVitaminE,number,0,The minimum amount of Vitamin E in milligrams the recipe must have per serving.
Search Recipes,maxVitaminE,number,100,The maximum amount of Vitamin E in milligrams the recipe can have per serving.
Search Recipes,minVitaminK,number,0,The minimum amount of Vitamin K in micrograms the recipe must have per serving.
Search Recipes,maxVitaminK,number,100,The maximum amount of Vitamin K in micrograms the recipe can have per serving.
Search Recipes,minVitaminB1,number,0,The minimum amount of Vitamin B1 in milligrams the recipe must have per serving.
Search Recipes,maxVitaminB1,number,100,The maximum amount of Vitamin B1 in milligrams the recipe can have per serving.
Search Recipes,minVitaminB2,number,0,The minimum amount of Vitamin B2 in milligrams the recipe must have per serving.
Search Recipes,maxVitaminB2,number,100,The maximum amount of Vitamin B2 in milligrams the recipe can have per serving.
Search Recipes,minVitaminB5,number,0,The minimum amount of Vitamin B5 in milligrams the recipe must have per serving.
Search Recipes,maxVitaminB5,number,100,The maximum amount of Vitamin B5 in milligrams the recipe can have per serving.
Search Recipes,minVitaminB3,number,0,The minimum amount of Vitamin B3 in milligrams the recipe must have per serving.
Search Recipes,maxVitaminB3,number,100,The maximum amount of Vitamin B3 in milligrams the recipe can have per serving.
Search Recipes,minVitaminB6,number,0,The minimum amount of Vitamin B6 in milligrams the recipe must have per serving.
Search Recipes,maxVitaminB6,number,100,The maximum amount of Vitamin B6 in milligrams the recipe can have per serving.
Search Recipes,minVitaminB12,number,0,The minimum amount of Vitamin B12 in micrograms the recipe must have per serving.
Search Recipes,maxVitaminB12,number,100,The maximum amount of Vitamin B12 in micrograms the recipe can have per serving.
Search Recipes,minFiber,number,0,The minimum amount of fiber in grams the recipe must have per serving.
Search Recipes,maxFiber,number,100,The maximum amount of fiber in grams the recipe can have per serving.
Search Recipes,minFolate,number,0,The minimum amount of folate in micrograms the recipe must have per serving.
Search Recipes,maxFolate,number,100,The maximum amount of folate in micrograms the recipe can have per serving.
Search Recipes,minFolicAcid,number,0,The minimum amount of folic acid in micrograms the recipe must have per serving.
Search Recipes,maxFolicAcid,number,100,The maximum amount of folic acid in micrograms the recipe can have per serving.
